mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,             corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,             corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,             ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,             sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.838674,0.333479,-0.497347,0.465345,-0.480957,0.390461,-0.431142,0.512131,0.870988,0.902671,-0.558084,-0.016103,-1.616708,-1.220477,1.256518,1.106263,-0.243731,-0.597118,-0.623487,-0.414334,-0.124402,-0.024538,-0.202688,-0.638820,-2.304786,-1.322028,-0.205350,0.541497,0.278063,-0.597249,-1.039494,-0.436520,0.442012,0.677754,0.060740,-1.077517,-0.339394,-0.302079,-0.291462,-0.740608,-0.820664,0.434045,0.600784,-0.631085,0.099449,2.583829,1.018115,-0.590689,1.756092,1.449113,-1.018185,0.446750,0.634896,-0.481654,-0.842230,0.639257,0.769343,-1.530980,-1.533332,-1.514696,-1.515748,-2.879460,-2.909497,2.877882,2.923054,Move
0.673626,0.393130,-0.688451,-1.022675,-0.571521,-1.010270,-0.645176,-1.032730,1.306483,1.354006,-0.716184,-1.017773,0.401294,0.347278,-0.074770,-0.012240,0.010651,-0.135780,-0.282912,-0.410028,-0.511293,-0.556395,-0.522298,-0.421631,0.818410,0.525219,-0.019065,-0.246794,-0.319410,-0.211896,0.010959,0.009584,-0.201768,-0.441239,-0.508839,-0.262715,-0.349244,-0.315156,-0.321936,-0.802390,-0.913712,-0.816486,-0.626787,-0.046518,1.363865,0.015858,-0.060533,0.885085,0.820741,0.602444,-0.285672,-0.885519,-1.025662,1.411421,0.806031,-1.292137,-0.785263,-1.242638,-1.283171,-1.280812,-1.239645,-1.006221,-0.880743,1.010105,0.843590,Move
0.765742,-0.065675,-0.571797,-1.268301,-0.517931,-1.195514,-0.586261,-1.248935,0.435494,1.805342,-0.620665,-1.179704,0.002733,-0.013278,-0.898912,-1.288287,-0.779756,-0.410151,-0.149602,-0.054494,-0.211686,-0.461008,-0.519183,-0.337966,-0.090121,0.004587,0.118814,-0.134987,-0.252400,-0.203730,-0.013375,0.073827,-0.051543,-0.298613,-0.424713,-0.203896,-0.335114,-0.291184,-0.306034,-0.630531,0.226522,-0.318434,-0.664964,-0.037943,0.681291,-0.614405,-1.014437,-0.799110,0.350792,-0.486666,0.711744,0.014656,-0.600430,-0.104520,-0.496664,-0.172304,0.104391,-0.956518,-0.933330,-0.941619,-0.962487,0.066796,-0.053906,-0.066707,0.060397,Move
0.657501,0.180722,-0.359002,-0.477993,-0.406517,-0.553013,-0.339739,-0.277340,1.000000,0.451335,-0.428745,-0.673751,-0.075649,0.217034,0.356701,-1.184008,-1.100765,-0.672123,-0.232225,0.095490,0.099049,-0.203097,-0.474390,-0.554317,0.302171,0.281274,-0.139221,-0.720413,-0.867261,-0.378607,0.388163,0.672578,0.285638,-0.464031,-0.983759,-0.768480,-0.349444,-0.308764,-0.301988,0.171914,1.541135,-0.387356,-0.424422,-0.022090,0.334703,-0.656571,-0.833724,-0.471282,-0.065662,-0.135708,0.429554,-0.379502,-0.517645,-0.408662,-0.090597,-0.319317,-0.426225,-0.683915,-0.675025,-0.683078,-0.690211,0.239662,0.191126,-0.239365,-0.190215,Move
0.683946,0.108589,-0.556799,-0.386185,-0.510656,-0.469632,-0.589983,-0.094938,0.435494,-0.000000,-0.602669,-0.608886,0.007259,-0.159907,-1.398861,-0.814643,-0.163794,0.027017,-0.028116,-0.273065,-0.527043,-0.535580,-0.380782,-0.351943,-0.222573,-0.373559,-0.282723,-0.214516,-0.270655,-0.389697,-0.438937,-0.499093,-0.502497,-0.438114,-0.416972,-0.415616,-0.322077,-0.315651,-0.307971,-0.727265,-0.424225,-0.613926,0.025998,-0.378407,-1.411359,-0.635012,-1.008514,-0.692357,0.729679,0.740534,-0.677050,-0.129157,-1.028132,0.489549,-0.368395,-0.731996,-0.035526,-0.478064,-0.397874,-0.403381,-0.483270,0.312740,0.272035,-0.316733,-0.271250,Move
0.627774,0.077349,-0.799794,-0.605754,-0.617727,-0.666018,-0.824417,-0.399393,0.435494,0.451335,-0.807913,-0.756645,0.071927,0.175418,-0.602454,-1.231034,-0.674438,-0.295344,-0.144329,-0.211132,-0.377139,-0.413659,-0.312157,-0.181382,0.558465,0.349351,-0.288651,-0.704758,-0.544473,0.066375,0.409592,0.154964,-0.386069,-0.679689,-0.462715,0.163061,-0.346199,-0.317951,-0.317194,-0.592298,-0.339323,0.283313,-0.332042,-0.941299,-1.107785,-0.752600,-1.056669,-0.842093,-0.480190,1.274836,-0.921361,0.310032,0.600890,-0.605856,-1.000149,0.488481,0.611514,-0.111630,-0.149032,-0.154462,-0.116658,0.386008,0.402730,-0.385399,-0.401542,Move
0.646852,1.193534,-0.138791,0.651374,-0.272646,0.599200,-0.115379,0.321455,0.870988,-0.451335,-0.236327,0.505388,-0.077663,-0.177519,-0.329638,-0.080122,-0.182190,-0.411738,-0.720302,-0.918990,-0.655611,0.067052,0.720356,0.877143,0.359163,0.408992,0.710268,0.925903,0.880657,0.412844,-0.280679,-0.728878,-0.653826,-0.120498,0.560399,0.935712,-0.334518,-0.310552,-0.324228,-0.339631,0.903586,-0.309029,-0.661917,-0.027689,0.372555,0.733800,0.296847,-0.476039,-0.372590,0.556413,-0.830768,-0.874894,-0.274250,-0.572264,0.219468,-0.006646,-0.550986,0.170143,0.181197,0.177556,0.166265,0.436262,0.448335,-0.435539,-0.444939,Move
0.056826,1.749549,0.187869,1.050656,-0.039263,1.072453,0.220614,0.933651,0.435494,-0.902671,0.113817,1.228319,0.421970,0.454303,-0.024820,-0.057082,0.079585,-0.051925,-0.259362,-0.444146,-0.516420,-0.470282,-0.407192,-0.364477,-0.043528,-0.344063,-0.387916,-0.167984,0.029671,0.006888,-0.212408,-0.345606,-0.111490,0.335839,0.577239,0.211051,-0.324813,-0.291886,-0.191826,0.402116,-0.939451,2.972501,2.884878,2.779438,-0.046458,-0.831178,1.428345,0.361249,-0.385308,0.505682,-0.898985,-1.018453,-0.185442,-0.963611,0.737158,0.268978,-0.817659,0.420516,0.380543,0.378047,0.416865,0.460638,0.498843,-0.460953,-0.496970,Move
-0.825464,0.192430,-0.230241,0.645132,-0.330534,0.592075,-0.260743,0.245264,-1.741977,-0.902671,0.018571,0.096142,-0.616605,-0.202390,1.022003,0.189138,-0.032296,0.184010,0.459726,0.549916,0.258687,-0.167386,-0.270487,0.052098,-1.157517,-1.596885,-1.624132,-1.289361,-1.084573,-1.094019,-1.213409,-1.450186,-1.670916,-1.606807,-1.507533,-1.513603,-0.076936,-0.250979,-0.262705,1.025268,2.029863,-0.065692,-0.604469,-0.039590,-0.121146,-0.778291,-0.932003,0.425036,-0.783153,-1.274425,1.438568,1.599558,0.809242,-0.125980,-1.429281,0.823941,1.641927,0.669626,0.641937,0.641760,0.670691,0.472722,0.470051,-0.472906,-0.468645,Move
-0.510274,-0.888282,-0.470931,-1.492518,-0.467320,-1.353239,-0.501169,-1.693133,-1.741977,-0.902671,-0.262418,-0.700443,-0.677768,-1.375401,-1.461312,1.131660,0.622029,0.033198,-0.383020,-0.579565,-0.505467,-0.307042,-0.268990,-0.397578,-0.073370,-0.344590,-0.320359,-0.170823,-0.132719,-0.234090,-0.272527,-0.178766,0.004594,0.051417,-0.046720,-0.291501,-0.028508,-0.211317,-0.324329,-0.670750,-0.276054,-0.539127,-0.555777,-0.494164,0.152134,0.689801,1.161445,-0.539131,-0.114269,-0.687817,-0.698114,-1.506846,-1.444721,2.005804,2.368745,-2.038491,-2.027355,0.924815,0.936011,0.938052,0.924522,0.488940,0.527590,-0.489271,-0.525253,Move
