mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,             corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,             corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,             ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,             sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.507531,0.883891,-0.305530,-0.035265,-0.257959,-0.132095,-0.295201,-0.053382,0.523657,1.066599,-0.252430,-0.333768,0.788843,0.316564,0.093018,-0.043667,0.140702,0.432286,0.461410,0.149650,-0.202365,-0.094938,-0.064511,-0.091352,1.695896,-0.608784,0.194421,0.667224,0.528778,-0.345802,-0.096315,-0.775769,-0.940978,-0.225136,0.950292,0.946988,-0.206473,-0.202588,-0.183226,-0.045882,-0.057042,-0.674351,-0.392843,-0.894002,-0.968903,-0.417317,-0.100222,-0.188749,0.684288,0.253535,-0.327271,-0.249007,-0.422111,1.298350,-0.189531,-1.333919,-0.145026,-1.671469,-1.660797,-1.653827,-1.664441,-5.833033,-5.971984,5.914540,6.050145,Walk
0.409647,1.602658,-0.149906,1.241089,-0.210343,1.205680,-0.205229,1.472930,0.523657,0.428091,-0.176767,0.997604,0.139820,0.160300,0.142983,0.277866,0.418630,0.301350,-0.204668,-1.489708,-1.247223,-0.530298,-0.258925,-0.146687,2.149339,1.291224,0.881634,-0.176570,-0.685471,-0.145766,1.246425,2.951580,3.239054,2.992936,1.976998,0.719185,-0.215459,-0.225191,-0.262548,-0.302429,-0.441686,-0.695588,-0.273026,-0.912612,-0.949626,-0.472941,0.075457,-0.303542,1.850508,2.047536,-0.632391,0.233527,0.121317,-0.711307,-0.957985,1.514712,1.372357,-1.599496,-1.591473,-1.587269,-1.595598,-2.254796,-2.125653,2.083417,1.950048,Walk
0.365452,1.269320,-0.224680,0.297978,-0.234193,0.185156,-0.278066,0.084408,0.927884,0.108837,-0.230927,0.086492,0.035465,0.272086,0.346615,0.229907,-0.047878,-0.089111,0.098847,0.465755,0.180945,-0.079048,-0.170354,-0.240584,-0.338964,-0.638678,-0.630011,0.138522,0.710064,0.609278,0.339935,-0.056743,-0.189918,-0.120446,-0.033956,-0.257421,-0.218477,-0.218785,-0.168574,0.060424,0.151792,-0.525062,-0.080763,0.500331,0.102044,-0.078639,-0.390578,-0.224880,0.958232,-0.015915,-0.253067,-0.375628,-0.306041,-0.341159,0.354995,-0.688212,-0.868074,-1.513507,-1.536663,-1.534946,-1.512516,-1.089142,-0.635272,1.039321,0.563047,Walk
0.376975,0.477534,-0.134148,-0.984206,-0.205088,-0.911502,-0.151191,-1.077036,0.119431,1.066599,-0.171300,-1.172474,0.050068,0.038055,0.043885,0.368032,0.865245,1.070072,0.911640,0.172948,-0.493194,-0.236088,-0.057838,0.052176,0.356446,0.634129,0.962431,1.274734,1.097871,0.398406,-0.463404,-1.102088,-1.049614,-0.844587,-0.426168,0.236198,-0.219078,-0.208163,-0.163458,-0.180462,-0.499025,-0.504050,-0.546034,-0.620316,0.791665,1.442382,0.283788,-0.270677,0.497002,-0.867800,0.408161,-0.016080,-0.022252,-1.054469,-0.412706,1.528548,0.883833,-1.434684,-1.425655,-1.425406,-1.434183,-0.360331,-0.374868,0.346478,0.347491,Walk
0.270132,0.367203,-0.162581,-0.362441,-0.214512,-0.421550,-0.130461,-0.354188,0.119431,1.385853,-0.197456,-0.658811,0.116202,0.166745,0.323602,0.363532,0.044431,-0.139479,-0.002726,0.448217,0.200716,-0.141788,-0.241273,-0.250005,0.062568,0.122971,0.144007,0.057064,-0.173151,-0.244242,-0.099038,0.309705,0.607816,0.712612,0.604492,0.249247,-0.208518,-0.199940,-0.180157,-0.316147,-0.216000,0.192407,-0.608334,-0.268403,1.723208,0.874416,-0.004024,-0.312511,0.053560,-0.160792,-0.183121,-0.328462,-0.397544,1.007054,-0.018497,-1.321075,-0.471159,-1.368820,-1.367440,-1.368309,-1.369717,-0.047821,-0.018419,0.037409,0.003432,Walk
0.223571,0.366237,-0.321352,-0.226667,-0.262364,-0.304078,-0.259221,-0.290349,-0.284796,1.385853,-0.300362,-0.547586,0.518757,0.744717,0.686251,0.174841,-0.498298,-0.555016,-0.044242,1.100158,0.711828,-0.008543,-0.236025,-0.274761,-0.552871,0.189143,0.771123,0.562678,-0.464242,-1.077763,-0.721101,0.545399,1.234602,0.947173,0.202965,-0.141739,-0.214666,-0.223205,-0.215528,-0.230425,-0.493844,-0.757576,-0.740544,-0.613461,0.068542,-0.279714,-0.213678,-0.017788,0.477228,0.343611,-0.326188,-0.271825,-0.367399,1.434832,-0.518727,-1.190510,0.000251,-1.291655,-1.282362,-1.282601,-1.292286,-0.062948,0.002087,0.053319,-0.012728,Walk
0.093006,0.527466,-0.422567,-0.556749,-0.288638,-0.583129,-0.342962,-0.850054,-1.093250,1.385853,-0.349367,-0.820823,0.374861,0.329497,0.377357,0.516610,0.519382,0.508106,0.520100,0.468266,-0.051198,-0.180769,-0.191379,-0.206396,-0.129281,0.092786,0.248678,0.209723,-0.047158,-0.159629,-0.111522,0.042504,0.150151,0.245022,0.340746,0.249414,-0.218450,-0.229040,-0.246772,-0.386984,-0.185466,-0.283542,-0.629116,-0.045535,-0.279094,-0.601921,-0.320623,-0.327224,-1.290223,0.488039,-0.328039,-0.259315,-0.376034,0.910438,0.144814,-0.889744,-0.232776,-1.203512,-1.227880,-1.228232,-1.204418,-0.008026,0.091842,0.002736,-0.098558,Walk
0.108988,0.534133,-0.323518,-0.572347,-0.262961,-0.595767,-0.279498,-0.891044,-0.284796,0.747345,-0.289814,-0.833271,1.121625,0.652589,0.249354,0.032857,0.160221,0.361242,0.328310,-0.282247,-0.642176,-0.279732,-0.073601,0.013766,-0.243860,-2.027843,-2.048140,-0.923267,1.156097,2.302063,1.895195,0.032107,-0.387628,-0.478434,-0.374282,-0.264495,-0.213569,-0.217169,-0.198659,-0.192330,-0.285962,-0.393408,-0.757742,-0.242354,-0.565599,-0.516794,-0.402277,-0.322052,-0.986773,-0.622321,0.120816,-0.161901,-0.271045,0.284949,-0.756111,-0.085621,0.646073,-1.126090,-1.115266,-1.116129,-1.126556,0.112822,0.074826,-0.114280,-0.079749,Walk
-0.411537,0.226513,1.367427,0.493523,0.662008,0.381854,0.619864,0.290411,-0.284796,-0.210417,0.885903,0.057654,2.027302,1.142175,0.624562,0.039955,-0.356226,-0.289835,-0.027388,0.520521,0.445336,0.564752,0.348550,0.173203,0.402304,1.080148,1.485468,1.604335,1.180094,0.451014,-0.273699,-0.764055,-0.824034,-0.598142,-0.222894,0.198140,-0.161457,-0.122997,0.043927,1.274686,3.877708,3.011909,-0.774478,1.142267,0.563956,-0.583623,0.093319,0.786763,2.348774,-0.991171,0.510132,0.108982,0.064360,-0.604996,-1.290280,1.467542,1.719878,-1.032763,-1.053715,-1.054972,-1.033836,0.169338,0.163136,-0.166655,-0.163262,Walk
-4.784126,0.844549,4.197548,0.364772,4.267164,0.251468,4.202241,0.004516,-2.710157,-0.210417,4.582845,-0.020905,2.487805,-1.714619,-3.632088,-5.461901,-6.014535,-5.941396,-5.262984,-1.460848,5.777876,6.355612,6.422685,6.434752,1.251264,0.419460,0.290412,0.730523,0.791177,0.109060,-0.619874,-0.607273,-0.003134,0.311369,0.017654,-0.981821,5.377049,4.622962,5.012402,5.167401,2.393082,-0.417113,3.042768,4.421855,0.097152,-0.153138,2.865420,2.840479,-2.396712,-2.126132,4.281849,4.424562,4.371433,-2.242901,-1.686616,0.517642,0.785202,-0.949399,-0.972097,-0.973391,-0.950163,0.194926,0.158364,-0.192013,-0.158532,Walk
