V, H 
0.050104,-0.019151
0.022228,-0.007928
-0.003071,-0.005220
-0.014326,-0.002581
-0.008714,0.005762
0.003883,0.009966
0.019235,0.002499
0.035302,-0.012060
0.041902,-0.024538
0.036195,-0.027354
0.027590,-0.015264
0.023926,-0.004521
0.019528,0.003506
0.005352,0.005194
-0.017249,0.000144
-0.035282,-0.004533
-0.028469,-0.000597
-0.007590,0.005191
0.011027,0.001658
0.016539,-0.004738
0.013296,0.007401
0.001978,0.015120
0.000166,0.015504
0.004914,0.006690
0.001568,-0.008370
0.000021,0.007155
0.000823,-0.013917
0.011461,-0.022701
0.010969,-0.013791
-0.005450,0.009014
-0.017804,0.041395
-0.016845,0.071844
-0.013870,0.083505
-0.019771,0.070038
-0.033143,0.041442
-0.034853,-0.002161
-0.031895,-0.000847
-0.017369,0.009307
0.006492,0.006139
0.024778,-0.006687
0.026516,-0.033351
0.005063,-0.012282
-0.006355,0.018399
-0.002895,0.029347
0.003669,0.003804
-0.008284,-0.004854
-0.016913,-0.032570
-0.016287,-0.027179
-0.001631,0.002075
0.013542,0.027583
-0.019488,0.018999
-0.016269,0.005226
-0.010306,-0.006459
0.001631,-0.007950
0.012294,-0.000700
0.018736,-0.003254
0.009895,0.002529
-0.000543,0.001639
-0.005344,-0.000076
-0.003488,-0.000805
-0.011281,-0.008485
-0.007477,-0.012311
0.001408,-0.012355
0.008730,-0.001792
0.004862,0.013828
0.022066,0.033951
0.008720,0.009693
-0.001505,-0.013576
-0.006735,-0.016116
-0.005878,-0.000389
0.005398,0.020388
0.028952,0.032482
0.050098,0.029366
0.051790,0.013967
0.038528,-0.003961
0.032852,-0.035336
0.017464,-0.023053
-0.001834,-0.000603
-0.014917,0.011736
-0.009944,0.007848
-0.016159,-0.014759
0.002686,-0.005997
0.010710,0.006392
0.006136,0.006740
-0.004723,-0.002395
-0.008057,-0.004028
-0.012200,0.004092
-0.007672,0.008922
0.001382,0.002068
0.007905,-0.007531
-0.002192,-0.014428
0.000619,-0.003415
0.005610,0.008715
0.008321,0.009440
0.001316,-0.001587
0.011709,0.009496
-0.005781,0.000745
-0.012840,-0.006474
-0.008451,-0.005589
0.004216,0.003590
-0.006378,-0.009383
0.012820,-0.013583
0.022637,-0.015003
0.012017,-0.005703
-0.014602,0.011435
-0.035552,0.008520
-0.026254,0.006853
0.000688,0.000285
0.018268,-0.003976
0.012991,-0.005042
0.001062,-0.003477
-0.011849,0.012257
-0.005620,0.021829
0.011952,0.011461
0.014885,-0.012374
0.031201,0.002821
-0.002556,-0.007722
-0.019382,-0.008573
-0.013745,-0.003323
0.005537,0.005871
-0.006887,-0.015223
0.011312,-0.012383
0.013510,-0.008793
0.001887,-0.000001
-0.011292,0.009244
-0.017622,0.010554
-0.011735,0.007381
-0.004069,0.002268
-0.000171,-0.002356
0.004246,-0.004129
0.027220,0.009164
0.028716,0.010014
0.014805,0.008427
-0.006011,0.002595
-0.017831,-0.007016
-0.004049,0.008418
-0.006839,0.006088
-0.012759,0.002222
-0.008944,-0.003225
0.007964,-0.004165
-0.022147,0.002959
-0.018118,0.003109
-0.005861,-0.002470
0.011744,-0.004981
0.013978,0.001059
0.017681,0.023038
0.000193,0.009148
-0.004942,-0.008582
0.000907,-0.011235
0.004723,0.000273
-0.000377,0.016327
-0.007585,0.014352
-0.007224,0.002952
-0.001782,-0.007420
0.004418,-0.008643
-0.001258,-0.008843
0.004924,-0.000988
0.005236,0.001644
0.002677,0.000747
-0.001437,-0.000573
-0.011400,-0.000830
-0.020746,-0.000059
-0.011978,-0.000117
0.013698,-0.001302
0.030817,-0.002254
0.024002,0.006136
0.010832,0.004746
0.001993,0.001866
-0.001448,-0.003115
-0.003735,-0.005009
-0.001422,-0.001037
-0.005108,0.008411
-0.005274,0.009839
-0.000606,0.001342
0.005730,-0.008006
-0.002325,-0.002794
-0.010807,-0.004139
-0.013935,-0.005821
-0.002962,-0.003714
0.011741,0.003191
0.015963,0.010483
0.008640,0.016240
0.000623,0.020942
0.001811,0.020622
0.008281,0.011123
0.014332,-0.007951
0.004572,-0.009598
-0.002927,-0.001549
-0.001980,0.005726
0.000919,0.005538
0.012744,0.021781
0.010279,0.013829
0.008525,0.003213
0.001668,-0.006937
-0.008976,-0.008484
-0.021704,-0.011888
-0.012276,-0.005561
-0.000485,-0.002044
0.006751,0.001596
0.007541,0.003785
0.022291,-0.002489
0.006396,-0.007066
-0.005679,-0.010278
-0.008939,-0.005455
-0.003092,0.006157
-0.010263,0.016152
0.005932,0.020736
0.011858,0.015692
0.002853,0.000158
-0.009216,-0.016019
-0.007497,-0.020891
-0.001813,-0.013359
0.003241,-0.003396
0.003551,0.002077
-0.000443,0.005153
0.002241,-0.002167
-0.000204,0.002668
-0.003790,0.005317
-0.006080,0.003337
-0.000514,-0.002792
-0.001312,0.013016
0.004465,0.010077
0.001932,0.005980
-0.002175,-0.002195
-0.003332,-0.008632
0.009823,-0.022879
0.011226,-0.011988
0.004041,-0.001452
-0.007205,0.005100
-0.009564,0.006276
-0.016124,0.016187
-0.000225,0.010032
0.008105,0.003598
0.004701,-0.003150
-0.003338,-0.006890
-0.001230,-0.026942
-0.002672,-0.015857
0.001227,0.000265
0.004097,0.011970
-0.000110,0.009034
0.002282,0.010715
0.009744,-0.001759
0.016652,-0.003894
0.008736,0.001630
-0.011150,0.005211
-0.027336,0.016866
-0.020609,0.003495
-0.002061,-0.005450
0.012071,-0.004814
0.011073,0.000321
0.004409,-0.032213
-0.000450,-0.019543
0.005488,0.000397
0.007853,0.014318
-0.000007,0.010052
-0.010194,0.017837
-0.021504,0.005625
-0.022999,-0.000279
-0.007910,-0.002770
0.016882,-0.001998
0.016890,-0.009956
0.018937,-0.011406
0.008120,-0.011216
-0.004585,-0.002576
-0.011732,0.010301
-0.008828,0.011982
-0.001127,0.006204
0.007786,0.001410
0.010858,0.002059
0.001160,-0.000293
0.013636,0.000032
-0.001705,-0.007795
-0.003018,-0.005861
0.002558,0.003165
0.004080,0.007993
0.008966,0.005858
0.000157,-0.003103
-0.004509,-0.005333
-0.002630,-0.000341
0.002116,0.004709
0.000352,0.025432
0.000161,0.016265
-0.000781,0.001312
-0.000805,-0.009272
-0.000337,-0.008619
-0.033595,-0.007319
-0.026272,0.003053
-0.011070,0.008324
0.008542,0.003625
0.019109,-0.006754
0.041204,-0.040406
0.019063,-0.023938
0.000979,-0.000280
-0.005849,0.013448
-0.006246,0.011514
-0.024321,0.020918
-0.024866,0.005201
-0.016639,-0.006617
0.000102,-0.007941
0.015738,0.000361
0.025665,0.008996
0.032793,0.010096
0.036354,0.002569
0.035003,-0.009349
0.034970,-0.014579
0.071468,-0.037662
0.070392,-0.008104
0.041296,0.017512
-0.011740,0.019749
-0.050461,-0.001274
-0.071305,-0.011719
-0.043982,-0.018121
-0.013865,0.001651
0.008163,0.017493
0.021899,0.007064
0.016170,-0.005160
0.009856,-0.001012
-0.005264,0.009682
-0.013427,0.006357
-0.005379,-0.005309
0.027447,-0.011606
0.046429,-0.006980
0.043363,0.002597
0.007374,0.011967
-0.037528,0.006784
-0.059638,-0.014368
-0.060396,-0.027911
-0.055289,-0.025744
-0.037209,-0.025866
0.000812,-0.036510
-0.000729,-0.025774
0.004834,-0.028363
-0.006845,-0.021293
-0.008441,-0.002550
