mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.296110,0.268051,-0.389665,-0.368187,-0.346552,-0.312222,-0.374505,-0.362280,0.634116,0.311558,-0.383034,-0.350908,0.179308,0.160829,0.143029,0.120795,-0.169253,-0.111823,-0.146343,-0.186058,-0.226259,-0.220097,0.155688,0.170502,-0.147236,-0.145799,-0.146022,-0.150830,-0.169579,-0.217655,0.021889,0.139332,0.191277,0.233097,0.221572,0.179229,-0.226404,-0.238188,-0.235301,-0.233408,-0.198953,-0.173877,-0.179019,-0.231590,-0.293273,-0.337551,-0.308011,-0.233229,-1.527985,0.335189,-0.445332,-0.499460,-0.546986,0.094757,0.806568,-0.768973,-0.913700,-1.683924,-1.697831,-1.685806,-1.673214,-6.234591,-5.840402,6.262442,5.823432,Stop
0.295592,0.267408,-0.391866,-0.375111,-0.346596,-0.312329,-0.375366,-0.367033,0.107680,0.692350,-0.384953,-0.356376,0.183448,0.161826,0.142871,0.119766,-0.168339,-0.110967,-0.146449,-0.186716,-0.226813,-0.221626,0.153613,0.169705,-0.145798,-0.145108,-0.145804,-0.150866,-0.169549,-0.215452,0.023228,0.139547,0.190869,0.232511,0.220965,0.179402,-0.226401,-0.238161,-0.235269,-0.233615,-0.198996,-0.174340,-0.179088,-0.231080,-0.293131,-0.336219,-0.308845,-0.234944,0.015285,0.301227,-0.483875,-0.558145,-0.610799,0.419183,1.197167,-0.835599,-1.093242,-1.599081,-1.594977,-1.592288,-1.594809,-1.545563,-2.600352,1.443958,2.633870,Stop
0.485271,0.506759,-0.166134,0.102076,-0.326977,-0.243253,-0.186925,-0.015663,0.107680,-0.069235,-0.168995,0.050793,0.184822,0.159178,0.138629,0.118073,-0.157686,-0.104711,-0.136782,-0.176261,-0.218867,-0.221738,0.140110,0.154053,-0.143937,-0.142580,-0.143894,-0.152981,-0.178310,-0.234234,0.021618,0.143503,0.193208,0.234346,0.229308,0.193199,-0.226319,-0.237902,-0.235241,-0.233415,-0.198964,-0.173789,-0.179424,-0.229500,-0.293217,-0.337496,-0.309708,-0.231928,0.468650,0.496968,-0.701248,-0.546690,-0.536932,0.133464,0.233087,-0.513543,-0.564419,-1.477288,-1.464604,-1.465327,-1.478788,-0.187182,-0.096636,0.190097,0.123713,Stop
-1.707058,0.209858,2.165894,1.098698,1.664135,0.304645,1.965647,0.952393,-0.945192,-1.211613,2.063417,0.827138,0.245908,0.141444,0.023257,-0.078082,-0.413453,-0.034934,-0.088635,-0.200583,-0.402979,-0.956947,-0.302259,0.062138,-0.158781,-0.156509,-0.162517,-0.166783,-0.180953,-0.202208,0.070980,0.122636,0.145701,0.167263,0.190427,0.207156,-0.217562,-0.139148,-0.195381,-0.056954,-0.151204,-0.135950,-0.082763,-0.061133,0.658208,1.956298,1.544218,1.810121,1.493706,3.232772,-1.144987,0.700534,0.707056,-1.164428,-1.311202,1.509076,1.603126,-1.396643,-1.415746,-1.416629,-1.397442,-0.061593,-0.092336,0.051701,0.089400,Stop
-2.390800,-0.224595,2.367769,1.600673,1.989872,0.787326,2.241447,1.717962,-1.471628,-1.211613,2.369760,1.257505,-1.361564,-0.359015,0.441451,1.306636,0.504179,-1.766555,-0.669540,0.774149,2.594091,5.744645,0.050871,-2.429315,-0.354199,-0.386025,-0.355577,-0.152148,0.664774,4.000089,4.243192,1.793432,0.635916,-0.565219,-0.343040,-0.346967,3.262234,5.093161,5.239071,3.434003,0.867111,0.012938,0.099556,0.210042,0.579894,2.236404,5.126294,6.123972,-1.356709,-1.127083,0.212337,0.121072,-0.121506,0.024032,-1.528624,0.574487,1.801862,-1.372422,-1.371638,-1.372819,-1.372854,0.041337,-0.126290,-0.054464,0.121211,Stop
-0.311029,-2.512996,2.499364,3.561798,2.215367,4.000461,2.047383,3.236869,-0.418756,-2.353991,2.168903,3.224051,-6.303945,-6.461913,-6.472427,-6.368330,6.350815,6.275401,6.458300,6.394949,5.771221,2.277232,-6.455311,-5.827020,6.479270,6.478195,6.479222,6.482450,6.430994,5.005629,-4.982869,-6.060270,-5.843069,-4.751151,-5.516484,-6.407285,-0.108253,-0.148703,-0.087902,-0.125355,0.207774,0.104037,0.269444,2.859780,3.578658,0.906029,1.152385,0.009782,-1.430857,1.421166,-1.020702,-0.168149,-0.140887,-0.662734,-0.579905,0.707397,0.704563,-1.261740,-1.259816,-1.260541,-1.262202,0.030730,-0.038395,-0.036297,0.043327,Stop
-4.220490,-5.281653,3.595852,3.552337,4.497997,3.979886,3.790833,3.753075,-1.998064,-3.115576,3.754261,4.249027,0.183344,0.162303,0.142328,0.060782,-0.735965,-0.150398,0.054759,0.343243,0.897908,1.368115,0.411771,1.407378,-0.133205,-0.134297,-0.145855,-0.152383,-0.159257,-0.224233,-0.345992,-1.496843,-2.635632,-4.227557,-3.229115,-0.686420,5.491846,3.789857,3.608916,5.391983,6.379238,6.467221,6.456915,5.720627,5.091648,5.055606,2.961007,0.351873,-2.307304,-0.367943,-0.923111,-0.738470,-0.450564,1.230228,3.452829,-1.631714,-3.093717,-1.208473,-1.209950,-1.211605,-1.210047,0.156234,0.148230,-0.157134,-0.149473,Stop
-3.545466,-2.401018,2.703767,2.865463,2.586213,2.617557,3.155607,3.023682,-1.471628,-1.592406,2.918037,2.705106,0.133569,0.241826,0.322807,0.408294,0.765211,-0.026250,-0.089650,-0.081562,-0.043871,0.274971,0.419565,0.255714,-0.142039,-0.139416,-0.134984,-0.133133,-0.133805,-0.109842,0.148336,0.213925,0.262329,0.325033,0.308001,0.242371,0.383594,0.672634,0.580453,0.244336,-0.052638,-0.120139,-0.107849,-0.085047,0.209964,0.695720,0.239173,0.148956,-1.683448,1.126105,-1.160669,-0.129552,-0.170797,0.390289,-0.030518,0.214455,0.467359,-1.188397,-1.180262,-1.182405,-1.190699,0.211413,0.243783,-0.208832,-0.244850,Stop
0.298732,0.271283,-0.398532,-0.383958,-0.346711,-0.312428,-0.385118,-0.376634,0.634116,-0.450028,-0.390831,-0.363684,0.183308,0.161538,0.142584,0.119836,-0.168525,-0.111436,-0.146325,-0.186250,-0.225948,-0.219633,0.153391,0.168107,-0.146084,-0.145385,-0.145817,-0.150787,-0.169693,-0.216791,0.022312,0.139392,0.191207,0.233004,0.220758,0.179050,-0.226404,-0.238173,-0.235320,-0.233625,-0.198973,-0.174273,-0.179182,-0.230882,-0.292923,-0.337913,-0.310711,-0.234916,-0.582776,-0.480200,0.161513,-0.220264,-0.211916,-0.132881,-0.293357,0.215652,0.341915,-1.056461,-1.060072,-1.061263,-1.057419,0.148816,0.130082,-0.150304,-0.131976,Stop
0.300233,0.274300,-0.400402,-0.385316,-0.346738,-0.312440,-0.387549,-0.377912,0.107680,0.692350,-0.392450,-0.364726,0.183550,0.161704,0.142513,0.118932,-0.173163,-0.111020,-0.145246,-0.185096,-0.225519,-0.221878,0.151015,0.167370,-0.145984,-0.145320,-0.145782,-0.150799,-0.169690,-0.216638,0.022508,0.139424,0.191149,0.232772,0.220519,0.178951,-0.226404,-0.238182,-0.235334,-0.233645,-0.199004,-0.174375,-0.179692,-0.231689,-0.292829,-0.337620,-0.311475,-0.234832,0.944371,0.603880,-0.530258,-0.557327,-0.565952,1.337400,1.132859,-1.160447,-1.176927,-0.992551,-0.985183,-0.985864,-0.993609,0.129497,0.157292,-0.133876,-0.159439,Stop
0.321307,0.275168,-0.319471,-0.370083,-0.343632,-0.312254,-0.366488,-0.373131,-0.418756,0.311558,-0.320776,-0.352497,0.170204,0.160681,0.143807,0.121913,-0.165919,-0.104721,-0.144685,-0.187049,-0.227173,-0.221396,0.157201,0.170550,-0.146333,-0.145926,-0.145956,-0.150477,-0.169111,-0.216485,0.021799,0.138984,0.191024,0.233152,0.220423,0.178936,-0.226403,-0.238184,-0.235358,-0.233636,-0.198996,-0.174355,-0.179664,-0.231575,-0.292987,-0.337568,-0.311658,-0.235129,0.819617,0.201035,-0.404414,-0.574501,-0.637731,1.149787,1.317014,-1.197609,-1.138600,-0.856602,-0.882296,-0.882725,-0.856628,0.127741,0.104141,-0.129654,-0.105578,Stop
0.506095,-0.045868,0.537375,0.480458,-0.069826,-0.099519,0.412315,0.425401,-1.471628,-0.830820,0.436397,0.356067,0.183188,0.159339,0.134077,0.097245,-0.253914,-0.111380,-0.138075,-0.177026,-0.224537,-0.252414,0.125124,0.162459,-0.144753,-0.142420,-0.142915,-0.148045,-0.169007,-0.226970,0.005411,0.127072,0.178635,0.217387,0.205920,0.173174,-0.224876,-0.238123,-0.212953,-0.064444,0.141152,0.084259,-0.083992,-0.208711,0.481095,1.756432,0.736929,0.243641,-1.226464,0.079838,-0.326579,-0.471435,-0.543433,0.014670,0.687902,-0.692177,-0.843493,-0.789011,-0.776160,-0.777818,-0.790729,0.217686,0.241206,-0.214454,-0.242069,Stop
0.433471,-0.050799,0.520778,0.477670,-0.079311,-0.100866,0.344213,0.422925,0.634116,-0.830820,0.418335,0.354703,0.155581,0.147462,0.138563,0.145924,0.014000,-0.088276,-0.136149,-0.178847,-0.232378,-0.291355,0.093800,0.149799,-0.143668,-0.143479,-0.145323,-0.150025,-0.167523,-0.209743,0.029260,0.137371,0.182299,0.219239,0.214567,0.182711,-0.210146,-0.217259,-0.225154,-0.182724,-0.032376,0.033434,0.090023,0.126653,0.230658,-0.134557,-0.282360,-0.067897,-1.390281,1.664095,-1.083059,-0.106117,0.050646,-1.149186,-0.535018,1.306637,0.807445,-0.784748,-0.772770,-0.774463,-0.786491,0.220108,0.243715,-0.216773,-0.244678,Stop
0.289046,0.279581,-0.401483,-0.367889,-0.346753,-0.312216,-0.388147,-0.372132,2.213424,-0.830820,-0.392906,-0.350424,0.183410,0.161229,0.142110,0.119610,-0.162286,-0.109509,-0.145467,-0.186216,-0.226787,-0.222314,0.152787,0.168863,-0.145720,-0.145105,-0.145555,-0.150509,-0.169516,-0.216824,0.021980,0.139026,0.190686,0.232863,0.220711,0.178971,-0.226404,-0.238182,-0.235323,-0.233615,-0.199017,-0.174379,-0.179734,-0.231782,-0.293272,-0.336273,-0.308619,-0.233135,1.585438,-0.351799,0.003351,-0.446301,-0.397504,1.271691,0.316750,-0.634146,-0.205599,-0.654463,-0.695996,-0.695815,-0.654442,0.127045,0.146931,-0.130214,-0.149575,Stop
0.300608,0.271501,-0.396204,-0.390453,-0.346674,-0.312473,-0.382412,-0.383068,1.686988,0.311558,-0.388763,-0.368897,0.182620,0.161835,0.142856,0.119429,-0.171744,-0.111360,-0.145921,-0.186081,-0.226325,-0.220028,0.154376,0.169022,-0.146053,-0.145337,-0.145753,-0.150749,-0.169681,-0.216739,0.022391,0.139374,0.191133,0.232852,0.220637,0.178945,-0.226402,-0.238162,-0.235297,-0.233453,-0.198716,-0.174035,-0.179323,-0.231313,-0.293150,-0.337955,-0.311380,-0.235085,-0.183273,-1.385095,1.673246,1.572885,1.548848,-1.738426,-1.543092,1.773421,1.503268,-0.584731,-0.590129,-0.591121,-0.585832,0.198304,0.222451,-0.196562,-0.223677,Stop
