mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,             corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,             corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,             ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,             sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
-2.602289,1.752826,1.825684,0.986188,2.101500,0.738208,1.718778,1.281146,-0.591529,0.272146,1.858715,1.016002,-4.892829,-3.994397,-0.125745,2.685438,4.148562,4.749673,0.554609,-4.904077,-5.217807,-5.151742,-3.545179,2.761767,-0.683444,-1.379004,-0.603934,0.726878,0.889620,0.016789,-0.696736,-0.042961,0.780023,0.844420,-0.511280,-1.105974,4.429517,3.133867,-0.186492,-0.233289,0.986562,1.217746,1.415773,0.168572,0.025202,-0.119892,-0.040777,-0.631606,-1.166042,-0.715842,0.211100,-0.211312,-0.308430,-0.020746,-0.759072,0.685059,1.380598,-1.632781,-1.637613,-1.626184,-1.627949,-5.340555,-4.840551,5.377890,4.974519,Drive
-3.078962,2.961494,1.418052,0.740357,1.369184,0.454558,1.511035,0.894376,-0.591529,1.578447,1.496341,0.865881,-0.717665,-2.629050,-4.003256,-3.757807,-2.805697,-1.278506,1.223916,1.233332,0.585228,-0.247764,-2.346914,-3.441600,0.300636,-1.182998,0.310354,0.349202,0.239197,0.097179,0.259061,0.881496,1.090131,1.404833,1.000611,0.271689,1.728896,1.446026,0.028570,0.509163,0.674467,1.280620,1.684055,-0.191531,0.791201,1.186471,-0.096868,-0.245634,-0.974642,-0.867669,1.215602,1.001440,0.944888,-0.967634,-1.055206,0.786301,0.582439,-1.574810,-1.576757,-1.574627,-1.570632,-0.914842,-2.199457,0.735940,1.915686,Drive
0.540477,-0.471416,1.312708,2.312435,1.197830,2.759025,1.336560,1.998986,0.268877,1.143013,1.283358,2.281279,0.105588,0.217685,0.548275,0.298926,-0.505200,-0.782099,-0.098871,0.910904,0.761658,0.372019,-0.770528,-1.528434,-1.423915,-1.637801,0.039607,-1.124023,-2.659692,-2.132887,-0.498821,0.902263,0.171928,-0.145856,1.130339,1.922108,-0.378028,-0.332842,0.165143,1.059943,2.835392,2.771922,4.492375,3.511940,0.333198,-0.295658,-0.466379,0.386220,-1.798188,-0.600745,0.439518,-0.058379,-0.077880,-0.611908,-0.631862,0.848289,0.885609,-1.405827,-1.413830,-1.415406,-1.406388,-0.126212,-0.422056,0.122375,0.429056,Drive
-0.390822,-0.801173,1.285501,2.306940,1.154770,2.748943,1.360817,1.989963,0.699080,-0.163288,1.261002,2.277806,0.145708,0.195886,0.094461,-0.260802,0.556811,1.212038,3.892657,1.285871,0.485816,-0.116908,-0.964505,-1.000138,0.480533,1.964829,0.889561,-2.078087,-3.566369,-2.925657,-1.285265,2.352405,3.533823,3.724877,0.881562,-1.853557,-0.369042,-0.351427,-0.257562,-0.422256,-0.390733,0.188451,-0.014852,2.343397,4.330805,2.469779,1.681024,2.599273,-0.163775,-0.540904,0.223999,-0.356376,-0.348266,0.091807,-0.248966,0.182953,0.532846,-1.366525,-1.368247,-1.369464,-1.367163,-0.052834,-0.199872,0.024878,0.158531,Drive
0.347229,-0.319268,-0.246177,-0.165339,-0.478567,-0.345101,-0.187704,-0.027190,0.268877,-0.163288,-0.253492,-0.183382,-0.187523,0.734627,1.234781,0.052149,-0.929319,-0.707656,-0.071287,0.461462,0.393567,0.332770,0.285983,-0.011700,1.087176,0.419707,-0.697017,-1.447678,-1.261224,0.093867,0.941376,0.466436,-0.528144,-1.376296,-1.693751,-0.125637,-0.380414,-0.453804,-0.382743,-0.338941,-0.206397,-0.380411,-0.389449,-0.409898,-0.356629,0.439246,1.324347,3.758546,1.071819,-0.577131,0.326695,-0.281153,-0.241274,0.188266,-0.146265,0.058374,0.438317,-1.232748,-1.227707,-1.227918,-1.232942,-0.046668,-0.138726,0.027802,0.126437,Drive
1.855258,-0.040608,0.747549,-0.050091,0.404051,-0.264779,0.890452,0.066555,-1.021732,-1.034155,0.757579,-0.067436,2.310393,1.377229,-1.018609,-1.435861,-0.057128,0.253057,1.669210,0.390754,-0.004159,-0.273747,-0.520784,-0.596028,3.336247,3.013134,1.896611,0.242522,-0.888592,-1.103205,-1.412614,-1.003698,-0.177280,0.455154,0.128851,-0.314050,1.887152,3.411156,2.127439,2.822896,1.086845,-0.218271,-0.406926,-0.315609,-0.012577,0.589055,0.175313,-0.372557,-1.715670,-0.948194,2.159032,2.293336,2.220285,-1.117077,-1.259856,0.335460,0.311545,-1.096288,-1.122948,-1.124410,-1.096770,0.096881,0.022014,-0.097598,-0.028642,Drive
1.485544,0.616034,0.715085,-0.041744,0.364881,-0.258719,0.849823,0.004557,-0.591529,-0.163288,0.712625,-0.042727,-0.327647,-1.254586,-1.690711,-1.796572,-1.349316,-0.968012,-1.584449,-0.436236,-0.157758,0.064280,0.584440,0.800859,1.048374,1.376471,-1.441891,-1.235135,0.384357,1.554021,2.097524,0.283871,-1.132464,-2.029109,-1.561713,0.362417,-0.381300,-0.211581,-0.182705,-0.347096,-0.480134,-0.365857,-0.008794,1.077517,0.332623,-0.182658,0.470443,1.107901,0.264351,-0.664876,0.691973,0.221804,0.241004,-0.708654,-0.811136,0.743333,0.930759,-1.046022,-1.013894,-1.014453,-1.045534,0.091054,-0.045551,-0.098339,0.036499,Drive
0.495236,0.450474,-0.197702,0.102541,-0.450688,-0.148782,-0.058631,0.067141,-0.591529,0.707580,-0.204785,0.093889,0.063284,-0.111043,-0.315649,-0.183426,0.095198,0.234739,0.627001,0.233554,0.137916,0.126949,0.223819,0.272025,-0.023792,-0.544616,-0.042238,0.728743,0.684268,0.038255,-0.832770,-1.090546,-0.224799,0.469435,1.067526,0.892961,-0.380261,-0.393445,-0.185175,-0.153393,-0.333118,-0.283608,0.098832,-0.316165,-0.478313,0.100028,0.650102,0.780670,1.070728,-0.552447,0.258033,-0.310493,-0.323570,-0.128602,-0.044101,0.443644,0.364228,-0.888431,-0.895378,-0.896856,-0.889791,0.170880,0.198390,-0.168797,-0.194467,Drive
-0.612997,0.620809,0.288250,1.098500,-0.085196,0.877262,0.401499,1.031961,-1.021732,0.272146,0.288127,1.083975,0.191136,-0.081150,-1.501786,-0.505378,0.701813,0.859743,0.325271,-0.883753,-0.954263,-1.052778,-1.222501,-0.331843,-1.998270,1.354744,0.808487,0.252085,0.086609,0.261879,0.245198,3.450907,3.000985,1.603204,-1.874733,-3.651636,-0.334193,-0.331060,-0.343177,-0.239072,-0.065779,-0.386042,-0.146606,-0.285273,-0.483727,-0.453266,-0.390860,-0.641480,-0.551649,-0.494922,-0.044675,-0.575419,-0.613714,-0.104495,0.420066,0.219982,-0.170569,-0.779803,-0.768813,-0.769746,-0.780764,0.168428,0.198696,-0.166261,-0.194651,Drive
-2.208868,0.224940,2.120540,2.129203,2.699820,2.430556,2.178653,2.409709,-1.451935,-0.598721,2.126949,2.101134,0.081426,0.127828,0.209533,0.361445,0.332377,0.148605,-0.311596,-0.187828,0.122730,0.735621,2.184352,2.181432,-0.281563,0.629370,1.099367,0.514136,-0.398084,-1.094600,-0.840395,0.018117,0.308426,0.191579,-0.561841,-0.943950,0.225513,0.356075,4.615026,3.720688,3.638295,3.947838,0.482914,1.321784,2.203545,4.234627,4.651132,0.618004,-1.657010,-0.643027,0.433626,-0.018143,-0.057666,-0.708012,-0.706782,1.070388,1.010989,-0.669649,-0.683947,-0.686181,-0.671589,0.241325,0.294123,-0.233791,-0.286503,Drive
-0.460023,-0.601697,1.933451,1.388369,2.313502,1.263579,1.416292,1.224690,1.559486,-0.163288,1.899327,1.363030,0.608022,-0.631310,-1.370464,-1.154731,-0.804079,-0.861255,-1.044678,0.060699,0.413437,0.843103,1.612953,0.811140,1.865809,0.626429,-3.402395,-3.339891,0.078212,2.265254,1.841693,-1.514402,-1.622696,0.218119,2.555221,1.735671,0.678819,1.142930,0.455649,0.099039,0.251784,0.383314,0.379668,0.764405,1.325923,0.799313,0.062513,0.295873,-0.268922,-0.823079,1.075228,0.797391,0.754053,-0.948709,-1.013597,0.853776,0.730510,-0.634423,-0.627037,-0.629255,-0.635911,0.248767,0.273149,-0.241611,-0.267849,Drive
