mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
1.412652,0.954484,-0.148557,1.158325,-0.235747,1.130137,-0.481570,1.036745,0.462568,-0.816848,-0.135941,1.154918,-3.794721,-0.328136,0.259273,-0.042665,-0.307051,0.098733,-0.680005,-0.186139,1.229426,1.301694,0.692387,0.126546,-3.767162,-1.843035,1.643390,1.562961,0.449893,-0.236062,-0.920412,-1.699530,-0.345721,1.503079,2.512693,1.950960,0.191876,-0.802217,-1.006576,-0.260534,0.903749,-0.639358,-0.878857,-0.892430,0.368777,-0.447045,-1.056550,-1.063936,-1.258190,0.961593,-0.989095,-0.446612,-0.498630,-0.037306,-0.266793,-0.347273,-0.179766,-1.670768,-1.684362,-1.672571,-1.661767,-6.229756,-5.951092,6.270621,5.962481,Stop
-0.745930,-0.976541,0.127892,-0.521682,0.040272,-0.564676,-0.124288,-0.560042,-0.700461,-0.272283,0.122859,-0.520362,-1.574643,-0.749415,0.454449,0.851430,0.799955,0.563559,0.684789,0.708492,-0.683923,-1.760277,-1.569580,-0.917817,0.606675,1.534071,0.783371,-0.336046,-0.505846,0.047746,0.507788,0.929310,0.358171,-0.451605,-0.585123,-0.385794,-0.773961,-0.247627,1.143563,0.926738,-0.803366,0.242046,-0.348574,-0.822404,-0.126950,-0.751431,-0.603517,0.121747,0.142431,-0.209401,-0.134662,-0.816806,-0.631925,0.399778,0.277195,-0.710205,-0.815354,-1.596400,-1.600843,-1.597533,-1.593961,-1.470486,-1.882399,1.326480,1.847677,Stop
0.354397,2.270763,0.151390,0.158469,0.064376,0.051463,0.331236,-0.035589,0.462568,0.272283,0.142765,0.199252,-0.064226,-0.034697,0.044894,0.100043,0.203390,0.158846,-0.068593,-0.925996,-1.264471,-0.121857,0.854586,1.521277,-0.933726,-1.803903,-2.075070,0.476735,2.192792,2.281245,1.859721,1.689333,0.432131,-0.660284,-0.950028,-1.477219,0.389249,-0.483465,-1.302382,-0.954814,0.186209,-0.843910,-0.460535,3.485692,2.404071,-0.553602,0.273571,-0.547931,-2.365129,-0.471519,0.110037,-0.554939,-0.610021,0.263444,0.325974,-0.529648,-0.290286,-1.514542,-1.508748,-1.508697,-1.512224,-0.385919,-1.218277,0.359632,1.223793,Stop
1.273195,0.504131,0.706952,0.521815,0.663624,0.419644,0.935683,0.143532,-0.700461,-0.272283,0.712077,0.514328,-0.046617,0.436164,1.370891,1.894061,1.103540,0.002017,-0.673021,-0.894759,-0.182163,-0.196611,-0.638466,-1.089172,0.059972,0.088190,0.433541,-0.142652,-0.433304,-0.463028,-0.433207,-0.170810,0.145505,0.239139,0.478908,0.702560,-0.530339,-0.803114,0.191788,1.579667,-0.290399,0.000359,0.793261,0.161430,-0.634213,-0.510112,1.060350,0.273530,0.821691,0.646731,-0.793055,-0.907735,-0.755264,1.209807,0.523165,-1.138211,-0.816526,-1.442498,-1.442700,-1.442889,-1.443468,-0.189835,-0.159621,0.165286,0.157018,Stop
0.036848,-1.584514,1.400572,-0.637709,1.490832,-0.660275,1.459905,-0.786672,-1.863490,-0.272283,1.389207,-0.618822,-0.348048,-1.220596,-0.874444,0.135155,0.578960,0.193114,0.586289,0.657344,-0.544212,-1.445440,-1.440646,-1.264457,0.715522,0.430654,-1.182851,-1.791902,-1.761497,-0.884346,0.165679,0.854678,0.255993,-0.488022,-0.753450,-0.463807,-0.779347,-0.998466,1.318989,1.832068,-0.908064,1.948539,2.000441,1.857878,0.318427,-0.334876,-0.555398,-0.791642,-2.319423,-1.193360,1.724262,2.076356,1.921568,-1.749493,-1.230523,1.725876,1.312480,-1.366626,-1.371739,-1.372721,-1.366435,-0.015191,-0.248714,0.005752,0.242359,Stop
-0.277064,0.015559,1.757559,-1.658685,1.950788,-1.381984,1.945299,-1.352049,-1.281975,0.272283,1.746254,-1.665151,0.463358,0.512502,-0.800455,-1.648384,-0.381896,1.005891,1.640946,1.982906,0.318636,-1.160415,-1.858981,-2.585281,-0.070163,-0.505626,-0.430034,0.139111,0.360335,0.181460,-0.223965,-0.633658,-0.338970,0.256413,0.347806,0.331058,-0.639031,0.530566,-1.257893,0.408318,-0.622578,2.365475,-0.237926,-0.518784,-0.802688,-0.063818,0.400226,-0.134263,0.326730,-1.106294,1.334573,1.209002,1.374803,-1.171971,-1.144174,1.322587,1.305699,-1.289176,-1.285384,-1.286253,-1.290076,0.035019,0.006359,-0.042697,-0.009221,Stop
-1.300212,1.234168,0.438460,-0.540177,0.366989,-0.580101,0.484425,-0.692053,-2.445004,0.272283,0.443402,-0.530546,0.495468,1.650455,2.347369,1.203035,-0.765573,-1.406767,-1.439652,-0.978424,0.312965,1.097257,1.530380,1.419576,-1.826070,-2.780217,-0.819532,0.996779,1.301927,0.754090,0.284875,0.272512,-0.111886,-0.568263,-0.531702,-0.085585,-0.141972,0.601407,-0.910966,-0.250225,1.543805,-0.595249,-0.837359,-0.764821,-0.649129,0.096430,-1.077208,-1.008525,-0.191117,-0.100935,-0.246137,-0.756448,-0.759854,0.411639,-0.016232,-0.908467,-0.819371,-1.217931,-1.200528,-1.201405,-1.218570,0.080545,0.016468,-0.086799,-0.016014,Stop
-1.131559,-1.315639,-1.265196,0.335948,-1.208737,0.227908,-1.236529,0.133188,-0.118946,-0.816848,-1.257755,0.341009,0.270012,0.352162,0.200852,-0.661859,-1.164701,-1.046792,-0.675522,0.226443,0.300952,0.026443,0.086101,0.631849,-0.621091,-0.591215,0.069043,0.426579,0.583552,0.520853,0.327293,-0.315673,-0.640358,-0.445068,-0.006756,0.682235,0.981850,-0.657810,-1.321368,-1.238783,-0.407647,-1.008867,-0.690342,0.783401,0.245414,-0.455546,-0.252870,-0.766983,-0.641513,2.088611,-1.390391,0.655867,0.612482,-0.381546,-0.961534,0.657405,1.118991,-1.124850,-1.128881,-1.130111,-1.126140,0.127682,0.138096,-0.129101,-0.137204,Stop
-0.563048,-0.820542,-0.694809,-0.533308,-0.740151,-0.574381,-0.669317,-0.639933,1.044083,-1.905980,-0.700849,-0.534907,0.609163,0.193111,-0.260129,-0.479722,-0.090948,0.198152,0.179186,-0.405751,-0.655279,0.036360,0.522844,0.514599,-0.362461,-0.610822,-1.315312,-1.262770,-0.581192,-0.158733,0.089736,-0.024141,-0.282254,-0.417285,-0.380042,-0.263570,-0.443558,-1.113215,-1.097705,-0.154639,1.098249,0.169177,-0.607048,-0.356863,0.034104,1.331673,-0.145055,-0.657054,-1.146802,-1.074214,1.283084,1.210397,1.187455,-1.229397,-1.135963,1.318638,1.302954,-1.045091,-1.068817,-1.069964,-1.045796,0.137497,0.113887,-0.138061,-0.115531,Stop
-0.046076,0.405175,-0.803961,-1.375490,-0.834415,-1.203307,-0.567193,-1.331225,1.044083,0.816848,-0.813200,-1.379700,1.565446,1.547918,-0.549549,-2.255748,-2.000275,-0.940424,-0.697368,-0.457896,0.392516,0.576331,0.351522,-0.138965,0.504479,0.142301,-0.081833,-0.367485,-0.577601,-0.760108,-0.466289,0.527965,1.435230,0.828142,0.144429,-0.436185,-0.413584,-0.447098,-1.323525,-1.228877,-0.856853,-1.009441,-0.682911,0.278935,1.094686,0.051699,-1.053288,-0.341780,-0.125477,-0.206353,-0.155325,-1.016752,-0.937345,1.972686,1.232690,-1.596848,-1.191874,-0.979287,-0.963493,-0.964542,-0.980179,0.155032,0.148226,-0.154936,-0.147746,Stop
