mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,             corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,             corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,             ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,             sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
-0.508157,0.230854,-0.926377,-0.788627,-0.783646,-0.761221,-0.994475,-0.722704,-1.026415,1.383474,-0.943781,-0.756062,0.009421,-0.167068,-0.073676,0.077656,0.069288,0.025395,0.102848,-0.090658,-0.299288,-0.283037,-0.120147,-0.136615,-1.233236,-0.508232,-0.012144,0.157822,-0.076763,-0.368827,-0.562411,0.106667,0.771885,0.800550,0.317207,-0.556901,-0.428440,-0.359155,-0.409897,-0.564000,-0.065865,-0.101685,-0.465954,-0.744067,-0.649690,-0.553837,-0.632045,-0.678070,-0.807803,-0.385961,0.121047,-0.007844,-0.330745,-0.455425,-0.060637,0.480765,0.332143,-1.682057,-1.679134,-1.673288,-1.673130,-5.792330,-5.886859,5.832521,5.902730,Run
-0.482538,-0.214506,-0.823127,-0.550294,-0.730458,-0.597836,-0.905699,-0.502351,-0.166182,0.149565,-0.847635,-0.566695,0.035847,-0.269467,-0.374273,-0.149128,0.074356,0.156506,0.000253,-0.481231,-0.834203,-0.725930,-0.385600,-0.021494,0.690289,2.106012,1.991128,-0.004761,-1.520176,-1.419754,-0.871198,0.424075,1.225885,0.498373,-0.861443,-1.224839,-0.602464,-0.637644,-0.565459,-0.493706,-0.426681,-0.374916,-0.598432,-0.676458,-0.127666,-0.320488,-0.492235,-0.357566,0.887836,0.355769,-0.387759,-0.727460,-0.760182,0.719507,2.079214,-0.767827,-1.372151,-1.602063,-1.592713,-1.588619,-1.597234,-2.452356,-2.360889,2.382719,2.326992,Run
-0.756775,0.040405,-1.025538,-0.343453,-0.831193,-0.441647,-0.977163,-0.340911,-0.166182,-0.261738,-1.049726,-0.390907,-0.024123,-0.027632,0.025461,0.019926,-0.069691,-0.141811,-0.098892,0.064814,0.170479,0.050314,-0.235164,-0.441771,0.030421,-0.205591,-0.215450,-0.107483,0.240306,0.290658,0.012808,-0.529446,-0.509973,0.138845,0.779305,0.687466,-0.602435,-0.644048,-0.541705,-0.460360,-0.478304,-0.241578,-0.462685,-0.901559,-0.879929,-0.608183,-0.584475,-0.606534,-1.181708,3.264487,-1.759449,-0.008475,-0.030322,-0.740870,0.124490,0.615192,0.148123,-1.528121,-1.515838,-1.514776,-1.527586,-0.770928,-0.633638,0.726828,0.627017,Run
-0.579161,0.387980,-0.985548,-0.604273,-0.812435,-0.636396,-0.976065,-0.538148,0.263935,0.149565,-1.003763,-0.576212,0.046683,-0.040201,-0.025336,0.102842,0.218446,0.199442,0.114422,-0.162078,-0.327023,-0.197442,0.061176,0.191143,0.315493,0.616455,0.661659,1.030170,0.477764,0.684490,0.493585,0.250590,-0.508522,-0.749217,-1.104345,-0.477177,-0.601672,-0.631162,-0.513656,-0.637487,-0.432832,-0.536841,-0.351600,-0.893198,-0.673528,-0.446024,-0.630091,-0.641055,0.813382,1.885450,-1.409369,-0.818604,-0.836883,0.595780,2.010909,-0.789928,-1.509243,-1.435239,-1.444237,-1.443574,-1.435173,-0.485561,-0.277700,0.476848,0.272249,Run
0.180508,-0.028349,0.344037,0.423139,0.131959,0.253861,-0.096965,0.476596,-0.166182,0.560868,0.285581,0.265487,-1.368125,-0.823385,-0.692701,-0.746268,-0.519308,-0.089929,-0.488851,-1.185442,-1.878011,-1.696289,-0.429206,1.281462,-1.153628,-1.586227,0.268177,1.809334,1.155672,-0.280714,0.511027,0.340051,-0.930839,-1.883769,-0.826330,-0.427893,-0.590373,-0.631688,-0.483058,-0.422424,-0.470532,-0.309156,-0.135088,-0.740858,-0.337211,-0.374807,-0.322463,-0.210468,0.885607,1.297533,-1.123785,-0.914495,-0.884965,1.310457,0.848141,-1.527837,-1.391558,-1.344216,-1.350159,-1.349901,-1.344850,-0.214585,-0.056345,0.206633,0.056812,Run
0.301402,0.222949,0.520811,0.479427,0.304421,0.312170,0.096122,0.301201,0.694052,0.560868,0.461379,0.324978,-0.288861,-0.266613,-0.062079,0.202450,0.236653,0.177071,0.171952,0.046130,-0.217795,-0.504629,-0.572789,-0.502245,-2.410671,-2.867474,-2.555850,-1.305881,0.544518,1.498580,1.201987,0.313826,-0.487874,-0.641680,0.058317,0.690387,0.941690,1.707081,1.914288,2.851724,0.713956,-0.031692,0.246017,1.170029,1.964859,0.571390,0.039094,-0.391696,-1.244468,-0.897210,1.022685,1.132138,0.989874,-1.163040,-1.457833,1.329645,1.517263,-1.287875,-1.302218,-1.303306,-1.288739,0.053069,0.031414,-0.055561,-0.036142,Run
-0.791014,0.070671,-0.962675,-1.191652,-0.801453,-0.997102,-0.892954,-1.138411,1.984403,2.617383,-0.992708,-1.116190,0.924932,-0.012217,-0.211861,-0.179729,-0.061474,-0.077650,-0.274246,-0.607490,-0.134399,0.247979,0.313082,-0.012804,0.374179,-0.517571,0.257801,0.086013,-0.310924,-0.559812,-0.206826,0.247772,0.387640,0.089863,-0.114700,0.022819,-0.602037,-0.642286,-0.596574,-0.555653,-0.382291,-0.498251,-0.623194,-0.316247,-0.059482,-0.678585,-0.376335,-0.589323,0.124826,1.299674,-1.164898,-1.048306,-1.013573,1.280102,2.853689,-1.465924,-2.093324,-1.209209,-1.200734,-1.201188,-1.210340,0.036591,0.093437,-0.041875,-0.092404,Run
0.105894,0.026802,-0.529283,-0.578799,-0.558535,-0.618312,-0.559227,-0.437343,0.263935,0.972171,-0.496695,-0.593336,0.226413,0.329066,0.095862,-0.137917,-0.090731,0.050737,0.119980,-0.138245,-0.419772,-0.468082,-0.242365,-0.030219,0.175698,-0.238644,-0.101764,0.219419,0.948687,1.154381,0.591958,-0.105727,-0.183724,-0.001539,-0.060042,0.005200,-0.236846,-0.161916,-0.363150,-0.393603,-0.166075,0.211145,-0.041559,-0.720974,-0.813438,-0.620915,-0.507943,-0.547570,0.027871,-0.541338,0.209451,0.060130,-0.052752,-0.558036,-0.575606,0.702554,0.773370,-1.121111,-1.122605,-1.123950,-1.122297,0.169564,0.135198,-0.168605,-0.135082,Run
0.235435,0.226868,-0.465607,0.581597,-0.517269,0.420538,-0.480419,0.756053,-0.596298,-0.261738,-0.414519,0.412677,0.213707,0.255381,0.082213,-0.069470,-0.066288,-0.009825,-0.136308,-0.425855,-0.715224,-0.702134,-0.370292,0.090618,-0.818629,0.825529,1.818849,0.910106,-1.087051,-1.864028,-1.924282,-1.608380,-0.489717,0.875346,0.912762,0.097840,-0.204019,-0.505168,-0.496212,-0.668548,-0.202910,-0.200436,-0.556863,-0.607516,0.614424,0.726800,-0.222605,-0.669463,-0.081604,0.207465,-0.883423,-0.934650,-0.892371,1.194185,0.153012,-1.425177,-1.065667,-1.066935,-1.040691,-1.041419,-1.067701,0.136930,0.116941,-0.138726,-0.116561,Run
2.285597,0.398709,0.513752,1.951811,0.297323,2.189230,0.773002,2.179569,-1.026415,0.149565,0.987370,1.598218,-1.184197,-0.844638,0.068337,1.168735,1.634958,2.274597,3.249553,2.861713,1.988718,1.197421,0.713077,0.494642,0.143809,0.451935,-0.168780,-1.905897,-3.189239,-2.648446,-0.917142,1.656499,3.161893,1.837871,-1.554941,-2.849464,0.879814,0.760010,0.375269,0.944265,0.439433,-0.188439,-0.144532,-0.221229,-0.970263,-0.022112,0.155828,-0.130308,-1.778644,0.307304,-0.965636,-0.728563,-1.024956,1.220694,0.039586,-1.764640,-1.034958,-0.953337,-0.970404,-0.971265,-0.954633,0.164854,0.187386,-0.163563,-0.186946,Run
