mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
-0.660412,-0.033341,-0.550380,0.311118,-0.568189,0.176336,-0.358301,0.427759,1.356343,-0.205241,-0.600446,0.264363,-0.023868,-0.523291,-0.055352,0.732689,0.509597,0.316683,-0.509190,-1.036443,-0.438259,0.286922,0.804258,0.622549,0.976049,1.035332,0.772732,0.050114,-1.441964,-2.701415,-1.392686,0.204744,0.646297,-0.141412,-1.623478,-1.762377,-0.534458,-0.503047,-0.494742,-0.603616,-0.695497,-0.308904,-0.152253,1.335735,0.024672,-0.656570,-0.521188,-0.786933,0.098091,0.223103,-0.431366,-0.783244,-0.693313,1.318820,1.177076,-1.264250,-1.321950,-1.668548,-1.677392,-1.667773,-1.659329,-6.094455,-6.065757,6.091980,6.070258,Train
0.031833,1.457259,0.068951,-0.139994,-0.076917,-0.276091,0.073602,0.018856,-0.416303,-0.656771,0.026494,-0.045598,-0.636126,-0.449510,-0.457935,0.505766,1.030469,0.353687,-0.480768,-0.696800,-0.187952,0.225141,0.085258,-0.305712,-0.264331,-0.730453,-0.435087,0.239564,0.542977,0.129166,-0.861903,-0.990086,-0.074607,0.776528,0.810126,0.270082,0.113586,0.736356,1.827905,1.107436,-0.065504,-0.407451,0.347054,0.189884,-0.644278,-0.794699,1.665639,1.050958,0.309568,-0.435417,-0.201212,-0.608710,-0.509972,-0.343897,0.507477,-0.061430,-0.605555,-1.590210,-1.595970,-1.593976,-1.588186,-1.663292,-1.666069,1.683503,1.668836,Train
0.062465,0.932281,-0.058862,-0.628358,-0.187104,-0.699204,-0.120334,-0.543571,-1.007186,-1.108301,-0.091772,-0.594187,1.542982,1.725874,0.840863,0.402289,0.053339,-0.009561,0.070182,0.370438,0.083045,0.052959,0.011732,-0.387769,0.095989,-0.042099,-0.147812,-0.329325,-0.641357,-0.604299,-0.409685,-0.168074,-0.046801,-0.024435,0.051674,0.196301,-0.514493,-0.403944,-0.426476,-0.389134,0.015013,-0.585865,0.602886,2.111600,0.110618,0.761298,-0.454500,0.048358,0.300214,-1.097718,1.709071,1.583800,1.651586,-1.418106,-1.435101,1.257275,1.419037,-1.526892,-1.531396,-1.530371,-1.525428,-0.814130,-0.942876,0.801727,0.916498,Train
-0.506502,-0.182886,-0.674597,-1.428959,-0.653781,-1.242873,-0.742726,-1.265907,0.174579,0.246289,-0.715730,-1.475082,-0.474646,-0.393917,-0.225673,0.396739,0.480738,-0.178156,-0.731423,-1.081271,-0.696175,0.213098,1.445777,1.401786,-0.120947,-0.117145,-0.072215,-0.182242,-0.452163,-0.488125,-0.286821,0.122071,0.409618,0.514184,0.477749,0.312154,-0.534415,-0.505925,-0.612046,-0.744534,-0.807588,-0.378685,-0.156308,-0.826936,-0.591681,-0.267063,-0.883803,-0.553271,-0.633315,-0.072079,-0.172829,-0.653145,-0.580293,0.917052,0.649443,-0.890002,-0.828805,-1.450505,-1.441107,-1.440704,-1.450154,-0.363231,-0.432410,0.349151,0.428456,Train
-0.843269,-0.251655,-0.985915,-1.512972,-0.849296,-1.289124,-0.984522,-1.332843,0.174579,-0.205241,-1.017671,-1.559522,0.403794,0.718442,0.169398,-0.796895,-1.252690,-0.891975,-0.383062,0.333895,0.674104,0.553904,0.125998,-0.625828,-0.040040,-0.053097,-0.117226,-0.273059,-0.452264,-0.334320,-0.341582,0.001485,0.322029,0.571282,0.690279,0.454682,-0.528437,-0.484665,-0.654369,-0.591488,-0.799941,-0.405315,-0.704568,-0.549680,-0.409380,-0.694155,-0.759833,-0.412370,0.962285,-0.131146,-0.154938,-0.657668,-0.693594,1.035225,1.552645,-0.844078,-1.249771,-1.356682,-1.362264,-1.362028,-1.357065,-0.216967,-0.133923,0.215846,0.133496,Train
-0.717859,-0.054594,-1.139767,-1.784792,-0.935892,-1.424711,-1.271152,-1.666158,1.356343,0.246289,-1.165774,-1.826523,-0.160952,-0.222542,0.037541,0.208406,0.062991,-0.293830,-0.313290,-0.350369,-0.209515,0.026108,0.382467,0.382173,-1.167045,-0.148483,0.169493,0.046267,-0.270478,0.118953,0.047382,-0.005488,-0.074729,-0.063211,-0.057504,0.296682,-0.534682,-0.495669,-0.626005,-0.623034,0.126943,-0.213001,-0.434124,-0.625132,-0.590939,-0.523078,-0.689334,-0.866809,-1.308010,-0.572196,0.423902,-0.050523,-0.066469,-0.745672,0.055448,0.686729,0.294215,-1.284430,-1.287979,-1.288970,-1.285115,0.038316,-0.015606,-0.041578,0.014916,Train
-0.771917,-0.044373,-1.753002,-1.637747,-1.215141,-1.354030,-1.905683,-1.594008,2.538108,0.246289,-1.753520,-1.679655,-0.473659,-0.278334,-0.181738,0.140254,0.205561,0.027201,-0.113506,-0.117404,-0.110785,-0.026701,0.072019,-0.063346,-0.258499,-0.322395,-0.122056,-0.028445,0.030781,0.052743,-0.193107,-0.394190,-0.170094,0.294560,0.639748,0.573080,-0.531389,-0.488450,-0.670021,-0.760977,-0.585461,-0.613436,-0.649077,-0.542419,-0.688074,-0.514806,-0.565606,-0.376244,1.156086,-0.010223,-0.261070,-0.746666,-0.657945,1.441743,0.934229,-1.136080,-1.038678,-1.202286,-1.202679,-1.203813,-1.203352,0.098431,0.080661,-0.099365,-0.078791,Train
-0.727855,-0.587434,-1.160585,-0.410570,-0.947100,-0.519079,-1.188968,-0.590009,0.174579,-0.205241,-1.185774,-0.453097,-0.366255,-0.226330,-0.117473,-0.125917,0.055647,0.232035,0.241894,-0.011220,-0.238971,-0.355114,-0.352281,0.034151,-0.049331,-0.247065,-0.191357,-0.067951,-0.009792,0.253756,0.299641,0.081999,-0.191808,-0.199231,0.050058,0.403401,-0.531309,-0.503744,-0.728454,-0.437375,-0.288947,-0.625012,-0.645066,-0.919463,-0.590030,-0.629662,-0.051272,-0.163653,0.749101,1.572132,-1.036962,-0.194698,-0.141200,0.181134,-0.071544,0.188796,0.334448,-1.111426,-1.119426,-1.120740,-1.112743,0.145039,0.145612,-0.143868,-0.143635,Train
-1.107163,-0.631842,-0.859775,-0.117515,-0.773350,-0.254947,-0.830396,-0.325129,-1.007186,0.246289,-0.887383,-0.159456,-0.503999,-0.221623,0.026336,-0.188754,-0.644465,-0.863920,-0.810375,-0.238458,0.318300,0.689457,1.058836,0.866684,-0.092871,-0.500021,-1.205977,-1.106875,0.535821,2.331772,2.223638,1.353848,0.083307,-1.163860,-2.051518,-1.156036,-0.534595,-0.506105,-0.661369,-0.518818,-0.746808,-0.416363,-0.165104,-0.569136,-0.380481,-0.594658,-0.638965,-0.769654,-0.076765,-0.273995,0.046731,-0.503243,-0.527357,0.587995,1.211922,-0.447136,-0.773777,-1.053940,-1.056899,-1.057967,-1.054660,0.146553,0.112138,-0.147960,-0.113053,Train
-0.842181,-0.128669,-0.773454,-1.023366,-0.718808,-0.990727,-0.787974,-1.241945,-1.598068,0.697819,-0.814132,-1.069339,-0.724169,-0.544490,-0.104960,0.354446,0.573405,0.476422,0.271270,-0.140718,-0.438958,-0.523278,-0.586098,-0.351056,-0.059457,-0.166959,-0.092090,-0.090380,-0.256699,-0.275942,-0.135017,-0.048268,0.003054,0.128428,0.296511,0.221590,-0.530428,-0.482654,-0.575804,-0.005527,1.141394,0.583391,-0.075894,-0.579781,-0.643457,-0.807816,-0.854132,-0.800131,-2.932453,0.206271,-0.411405,-0.555231,-0.779256,-0.259961,1.829530,-0.728307,-1.593637,-0.971933,-0.978081,-0.979563,-0.973514,0.197293,0.208571,-0.197117,-0.207824,Train
-0.425737,0.006508,-0.942821,-0.364699,-0.823852,-0.479382,-0.955914,-0.706821,-0.416303,-0.205241,-0.968492,-0.408937,-0.642637,-0.844864,-0.524171,0.014948,0.800108,1.299892,1.050804,0.338873,-0.424759,-0.794932,-1.073556,-0.496516,1.334733,0.328424,0.089370,-0.191451,-0.539234,-0.871591,-0.388000,0.237208,0.419975,0.142576,-0.308746,-0.580879,-0.525438,-0.485356,-0.650462,-0.385068,-0.708078,-0.635556,-0.676237,-0.494710,-0.466229,-0.797238,-0.652496,0.700834,1.180852,0.681056,-0.750704,-0.779191,-0.649001,1.542813,1.022490,-1.067054,-0.942726,-0.909467,-0.886075,-0.886953,-0.910405,0.171813,0.167586,-0.172290,-0.166055,Train
-0.609150,-0.026771,-1.588067,0.542079,-1.150394,0.430863,-1.562679,0.635110,0.765461,-1.559831,-1.593190,0.494994,-0.674571,-0.317373,-0.037791,0.368448,0.418640,-0.004653,-0.245931,-0.382681,-0.353416,-0.150084,0.144472,-0.105211,-1.031135,-0.367265,0.205938,0.393892,2.185057,2.246945,1.451805,-0.758587,-1.806461,-2.642593,-2.170338,-0.964334,-0.534526,-0.499740,-0.646047,-0.615311,-0.646606,-0.666835,-0.819170,-0.545120,-0.169706,-0.716345,-0.797446,-0.640694,0.886366,1.478448,-1.033637,-0.299692,-0.110559,0.124940,-0.311094,0.222749,0.365580,-0.822799,-0.810817,-0.811958,-0.823891,0.202539,0.198125,-0.202649,-0.197440,Train
-0.169018,-1.539063,-0.827849,0.338016,-0.753421,0.205181,-1.102730,0.759240,1.356343,-1.108301,-0.840728,0.357750,-0.294466,-0.239383,-0.683052,-1.208277,-1.079034,-0.660595,0.270665,0.725276,0.345155,-0.263809,-0.660054,-0.265161,0.129689,-0.397128,-0.588938,-0.733601,-0.041869,1.130726,2.354963,2.193913,1.142312,0.166218,-0.803351,-1.661238,-0.531964,-0.489880,-0.764644,-0.808182,-0.778016,-0.697322,-0.731797,-0.750722,-0.524057,0.324083,-0.468447,-0.585709,1.695622,2.676406,-1.290864,0.631987,0.852278,-0.500659,-1.195217,0.684397,1.375780,-0.722969,-0.739856,-0.740620,-0.724010,0.188664,0.210876,-0.188186,-0.210284,Train
-0.398786,-1.641737,-0.201262,-0.650723,-0.304476,-0.716921,-0.374333,-0.349554,1.356343,-0.656771,-0.258895,-0.589942,0.154950,0.129793,-0.227697,-0.567035,0.006716,0.377879,0.246501,0.025150,-0.003489,-0.129583,-0.459360,-0.316671,-0.290478,-0.607375,-0.485679,-0.284039,-0.138767,-0.086416,0.037986,0.170769,0.247813,0.268740,0.173401,0.010855,-0.211817,-0.190110,-0.162618,0.627792,1.770881,0.255870,-0.804458,0.017162,1.301238,1.843136,0.571808,0.207281,0.358098,-0.838615,0.569780,0.117240,0.274809,-0.870072,-0.652008,1.061312,0.945413,-0.653803,-0.673270,-0.674473,-0.654930,0.224313,0.225726,-0.224140,-0.225243,Train
1.010022,-0.933167,0.859747,-1.112947,0.706608,-1.050531,0.929260,-1.040917,-0.416303,0.697819,0.886253,-1.128880,-0.558168,0.015472,0.197592,0.066558,-0.383086,-0.594613,-1.051869,-0.468029,0.633906,1.241340,1.176137,0.506035,0.110852,-1.027414,-0.650604,0.335966,1.277837,0.994172,0.170363,-1.069114,-0.939476,-0.141992,0.379144,0.201247,3.075206,3.485370,3.834539,2.127185,1.595360,0.226588,-0.178828,-0.105463,0.114076,1.262251,1.505155,1.451601,0.095891,-1.613808,3.502340,4.568854,4.395336,-1.837720,-1.874492,1.154885,1.067916,-0.585107,-0.582526,-0.583889,-0.586007,0.241798,0.220566,-0.241318,-0.220000,Train
1.472309,-1.374133,0.725893,-0.890544,0.561664,-0.897763,0.872297,-0.865020,-2.188950,-0.205241,0.843634,-0.860385,3.941934,4.305111,3.828602,4.217379,3.250218,1.672960,0.438509,-0.837793,-1.030724,-0.298095,0.914873,1.706028,1.172182,1.223697,1.135772,0.968019,0.514249,-0.411435,-0.760467,-0.536400,-0.129495,0.239110,0.615362,0.704649,-0.530738,-0.454163,-0.697460,-0.217618,-0.806529,-0.001830,-0.284115,-0.793601,-0.064163,-0.677424,-0.665208,-0.791849,-0.646914,0.295097,-0.481646,-0.686464,-0.636150,0.654802,0.401075,-1.020696,-1.026396,-0.526388,-0.500900,-0.501596,-0.527192,0.217133,0.221980,-0.217267,-0.221329,Train
1.021502,-1.437035,0.694128,1.644261,0.528004,1.859035,1.051645,1.455954,-1.598068,-1.108301,0.735093,1.636625,-0.917637,-0.491370,0.048083,0.492755,0.215985,-0.445168,-1.150879,-1.012392,0.090597,1.021590,1.444220,0.329516,1.686725,1.322738,0.442148,-0.136959,-0.659703,-0.848385,-1.354229,-1.032445,-0.103083,0.635424,0.729114,0.017228,2.983778,3.516704,3.190438,2.472055,-0.195359,-0.514863,-0.809959,1.148339,-0.028006,-0.538150,-0.403899,-0.642097,-1.786361,0.179056,-0.780682,-0.523253,-0.738225,0.803200,-0.404414,-1.388386,-0.748131,-0.422618,-0.413831,-0.415048,-0.423889,0.248642,0.256182,-0.248196,-0.255466,Train
